cells,labels
cell_84,2
cell_85,2
cell_87,2
cell_90,2
cell_91,2
cell_92,2
cell_93,2
cell_94,2
cell_99,2
cell_101,2
cell_102,2
cell_106,2
cell_108,0
cell_109,2
cell_110,2
cell_111,2
cell_112,2
cell_113,2
cell_114,2
cell_115,2
cell_118,2
cell_119,0
cell_120,2
cell_124,2
cell_125,0
cell_128,0
cell_130,0
cell_131,2
cell_135,2
cell_136,2
cell_138,2
cell_139,2
cell_142,2
cell_143,2
cell_144,0
cell_145,2
cell_146,0
cell_147,2
cell_148,2
cell_149,2
cell_150,2
cell_86,4
cell_88,4
cell_89,4
cell_95,4
cell_96,4
cell_97,4
cell_98,4
cell_100,4
cell_103,4
cell_104,4
cell_105,4
cell_107,0
cell_116,0
cell_117,0
cell_121,0
cell_122,0
cell_123,0
cell_126,0
cell_127,0
cell_129,0
cell_132,0
cell_133,0
cell_134,0
cell_137,0
cell_140,0
cell_141,2
cell_151,0
cell_152,0
cell_153,0
cell_154,0
cell_171,3
cell_172,3
cell_173,3
cell_174,3
cell_175,3
cell_177,3
cell_178,3
cell_180,1
cell_181,1
cell_184,1
cell_187,1
cell_190,1
cell_191,1
cell_194,1
cell_195,1
cell_199,1
cell_200,1
cell_203,1
cell_204,1
cell_205,1
cell_208,1
cell_209,1
cell_213,1
cell_216,1
cell_217,1
cell_220,1
cell_221,1
cell_222,1
cell_223,1
cell_224,1
cell_225,1
cell_228,1
cell_231,1
cell_232,1
cell_234,1
cell_235,1
cell_182,1
cell_183,1
cell_185,1
cell_186,1
cell_188,1
cell_189,1
cell_192,1
cell_193,1
cell_196,1
cell_197,1
cell_198,1
cell_201,1
cell_202,1
cell_206,1
cell_207,1
cell_210,1
cell_211,1
cell_212,1
cell_214,1
cell_215,1
cell_218,1
cell_219,1
cell_226,1
cell_227,1
cell_229,1
cell_230,1
cell_233,1
cell_236,1
cell_237,1
cell_238,1
